Entity,Year,Forest Transition Phase
Afghanistan,2013,Unclassified
Albania,2013,Post-Transition
Algeria,2013,Unclassified
Andorra,2013,Post-Transition
Angola,2013,Early Transition
Antigua and Barbuda,2013,Post-Transition
Argentina,2013,Late Transition
Armenia,2013,Post-Transition
Aruba,2013,Unclassified
Australia,2013,Late Transition
Austria,2013,Post-Transition
Azerbaijan,2013,Post-Transition
Bahamas,2013,Pre-transition
Bahrain,2013,Unclassified
Bangladesh,2013,Post-Transition
Barbados,2013,Post-Transition
Belarus,2013,Post-Transition
Belgium,2013,Post-Transition
Belize,2013,Early Transition
Benin,2013,Late Transition
Bermuda,2013,Post-Transition
Bhutan,2013,Post-Transition
Bolivia,2013,Early Transition
Bosnia and Herzegovina,2013,Post-Transition
Botswana,2013,Late Transition
Brazil,2013,Late Transition
British Virgin Islands,2013,Post-Transition
Brunei,2013,Early Transition
Bulgaria,2013,Post-Transition
Burkina Faso,2013,Late Transition
Burundi,2013,Post-Transition
Cambodia,2013,Early Transition
Cameroon,2013,Early Transition
Canada,2013,Post-Transition
Cape Verde,2013,Post-Transition
Cayman Islands,2013,Pre-transition
Central African Republic,2013,Post-Transition
Chad,2013,Unclassified
Chile,2013,Post-Transition
China,2013,Post-Transition
Colombia,2013,Late Transition
Comoros,2013,Early Transition
Congo,2013,Pre-transition
Costa Rica,2013,Post-Transition
Cote d'Ivoire,2013,Post-Transition
Croatia,2013,Post-Transition
Cuba,2013,Post-Transition
Cyprus,2013,Post-Transition
Czech Republic,2013,Post-Transition
Democratic Republic of Congo,2013,Early Transition
Denmark,2013,Post-Transition
Djibouti,2013,Unclassified
Dominica,2013,Early Transition
Dominican Republic,2013,Post-Transition
Ecuador,2013,Late Transition
Egypt,2013,Unclassified
El Salvador,2013,Late Transition
Equatorial Guinea,2013,Early Transition
Eritrea,2013,Late Transition
Estonia,2013,Post-Transition
Ethiopia,2013,Late Transition
Fiji,2013,Post-Transition
Finland,2013,Post-Transition
France,2013,Post-Transition
French Guiana,2013,Pre-transition
Gabon,2013,Post-Transition
Gambia,2013,Post-Transition
Georgia,2013,Post-Transition
Germany,2013,Post-Transition
Ghana,2013,Post-Transition
Greece,2013,Post-Transition
Greenland,2013,Unclassified
Grenada,2013,Post-Transition
Guadeloupe,2013,Post-Transition
Guatemala,2013,Late Transition
Guinea,2013,Early Transition
Guinea-Bissau,2013,Early Transition
Guyana,2013,Pre-transition
Haiti,2013,Unclassified
Honduras,2013,Early Transition
Hong Kong,2013,Unclassified
Hungary,2013,Post-Transition
Iceland,2013,Unclassified
India,2013,Post-Transition
Indonesia,2013,Early Transition
Iran,2013,Post-Transition
Iraq,2013,Unclassified
Ireland,2013,Post-Transition
Isle of Man,2013,Unclassified
Israel,2013,Post-Transition
Italy,2013,Post-Transition
Jamaica,2013,Post-Transition
Japan,2013,Post-Transition
Jordan,2013,Unclassified
Kazakhstan,2013,Unclassified
Kenya,2013,Post-Transition
Kiribati,2013,Post-Transition
Kuwait,2013,Unclassified
Kyrgyzstan,2013,Unclassified
Laos,2013,Post-Transition
Latvia,2013,Post-Transition
Lebanon,2013,Post-Transition
Lesotho,2013,Unclassified
Liberia,2013,Early Transition
Libya,2013,Unclassified
Liechtenstein,2013,Post-Transition
Lithuania,2013,Post-Transition
Luxembourg,2013,Post-Transition
Macedonia,2013,Post-Transition
Madagascar,2013,Early Transition
Malawi,2013,Early Transition
Malaysia,2013,Post-Transition
Maldives,2013,Unclassified
Mali,2013,Unclassified
Malta,2013,Unclassified
Marshall Islands,2013,Pre-transition
Martinique,2013,Post-Transition
Mauritania,2013,Unclassified
Mauritius,2013,Post-Transition
Mayotte,2013,Early Transition
Mexico,2013,Post-Transition
Micronesia,2013,Post-Transition
Moldova,2013,Post-Transition
Mongolia,2013,Post-Transition
Montenegro,2013,Post-Transition
Montserrat,2013,Post-Transition
Morocco,2013,Post-Transition
Mozambique,2013,Late Transition
Myanmar,2013,Early Transition
Namibia,2013,Late Transition
Nauru,2013,Unclassified
Nepal,2013,Post-Transition
Netherlands,2013,Post-Transition
Netherlands Antilles,2013,Unclassified
New Caledonia,2013,Post-Transition
New Zealand,2013,Post-Transition
Nicaragua,2013,Late Transition
Niger,2013,Unclassified
Nigeria,2013,Late Transition
Niue,2013,Early Transition
North Korea,2013,Late Transition
Norway,2013,Post-Transition
Oman,2013,Unclassified
Pakistan,2013,Unclassified
Palau,2013,Pre-transition
Palestine,2013,Unclassified
Panama,2013,Late Transition
Papua New Guinea,2013,Pre-transition
Paraguay,2013,Early Transition
Peru,2013,Early Transition
Philippines,2013,Post-Transition
Poland,2013,Post-Transition
Portugal,2013,Post-Transition
Puerto Rico,2013,Post-Transition
Qatar,2013,Unclassified
Reunion,2013,Post-Transition
Romania,2013,Post-Transition
Russia,2013,Post-Transition
Rwanda,2013,Post-Transition
Saint Kitts and Nevis,2013,Post-Transition
Saint Lucia,2013,Late Transition
Saint Vincent and the Grenadines,2013,Post-Transition
Samoa,2013,Pre-transition
San Marino,2013,Unclassified
Sao Tome and Principe,2013,Early Transition
Saudi Arabia,2013,Unclassified
Senegal,2013,Early Transition
Serbia,2013,Post-Transition
Serbia and Montenegro,2013,Post-Transition
Seychelles,2013,Pre-transition
Sierra Leone,2013,Post-Transition
Singapore,2013,Post-Transition
Slovakia,2013,Post-Transition
