Entity,Year,"GDP growth from previous year, 2020 Q2"
Austria,2020,-13.3
Belgium,2020,-14.5
Bulgaria,2020,-8.2
Canada,2020,-13.49469708
Cyprus,2020,-11.9
Czech Republic,2020,-10.7
Denmark,2020,-8.5
EU,2020,-14.1
Euro area,2020,-15
Finland,2020,-5.2
France,2020,-19
Germany,2020,-11.7
Hungary,2020,-13.5
Indonesia,2020,-5.367829828
Italy,2020,-17.3
Latvia,2020,-9.6
Lithuania,2020,-3.7
Mexico,2020,-18.96748624
Netherlands,2020,-9
Poland,2020,-7.9
Portugal,2020,-16.3
Romania,2020,-10.5
Slovakia,2020,-12.1
South Korea,2020,-2.957828409
Spain,2020,-22.1
Sweden,2020,-8.3
United Kingdom,2020,-21.7
United States,2020,-9.5
