Entity,Year,Interpersonal Trust (%)
United States,1972,45.7816377
United States,1973,45.9387483
United States,1975,39.3265993
United States,1976,44.3553774
United States,1978,38.9033943
United States,1980,45.361528
United States,1983,36.9077307
United States,1984,47.78157
United States,1986,37.4829932
United States,1987,38.5082873
United States,1988,38.6934673
United States,1989,40.8518877
United States,1990,38.0846325
United States,1991,38.4236453
United States,1993,35.7007576
United States,1994,34.015984
United States,1996,33.8365435
United States,1998,37.5265618
United States,2000,35.0635593
United States,2002,33.9912281
United States,2004,35.8447489
United States,2006,32.5528124
United States,2008,32.967033
United States,2010,33.3090909
United States,2012,32.2122571
United States,2014,30.7829181
